OC(=O)C1=CC=CC(Cl)=C1
CCCN(CCC)C1=C(C=C(C=C1N(=O)=O)C(F)(F)F)N(=O)=O
OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
ClC1=CC=C(C=C1)C1=C(Cl)C=C(Cl)C=C1
CS(=O)(=O)C1=CC(Cl)=C(C=C1)C(=O)C1C(=O)CCCC1=O
ClC1=CC=CC(=C1)C1=C(Cl)C=CC=C1
ClC1=CC(Cl)=C(C=C1)C1=CC=C(Cl)C=C1Cl
ClC1=CC=CC(=C1)C1=C(Cl)C=CC=C1
ClC1=CC(=C(Cl)C=C1)C1=C(Cl)C=C(Cl)C(Cl)=C1
CC(C)NC(=O)N1CC(=O)N(C1=O)C1=CC(Cl)=CC(Cl)=C1
CN(C)C(=O)NC1=CC=CC=C1
OC(=O)COC1=CC=CC=C1
ClC1=CC=C(C=C1Cl)C1=CC=C(Cl)C(Cl)=C1
OC1=C(Cl)C(Cl)=C(Cl)C(Cl)=C1Cl
Cl[C@H]1[C@H](Cl)[C@@H](Cl)[C@H](Cl)[C@@H](Cl)[C@@H]1Cl
CCCCCCCC\C=C\CCCCCCCC(=O)OC[C@H]1O[C@@](COC(=O)CCCCCCC\C=C\CCCCCCCC)(O[C@H]2O[C@H](COC(=O)CCCCCCC\C=C\CCCCCCCC)[C@@H](OC(=O)CCCCCCC\C=C\CCCCCCCC)[C@H](OC(=O)CCCCCCC\C=C\CCCCCCCC)[C@H]2OC(=O)CCCCCCC\C=C\CCCCCCCC)[C@@H](OC(=O)CCCCCCC\C=C\CCCCCCCC)[C@@H]1OC(=O)CCCCCCC\C=C\CCCCCCCC
CCOCN(C(=O)CCl)C1=C(C)C=CC=C1CC
CCOP(=S)(OCC)OC1=NC(=NC(C)=C1)C(C)C
CO\C=C(\C(=O)OC)C1=CC=CC=C1OC1=CC(OC2=C(C=CC=C2)C#N)=NC=N1
CN(C)C(=O)NC1=CC(Cl)=C(C)C=C1
COC(=O)C1=CC=CC=C1S(=O)(=O)NC(=O)N(C)C1=NC(OC)=NC(C)=N1
ClC1=CC(=C(Cl)C=C1)C1=CC(Cl)=CC=C1Cl
COC1=CC2=C(NC(=O)O2)C=C1
ClC1=CC=CC(C2=CC=CC=C2)=C1Cl
OC(=O)C1=C(Cl)C(Cl)=CC=C1
[H][C@](C)(OC1=C(C)C=C(Cl)C=C1)C(O)=O
CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)OCC(CC)CCCC
Cl\C=C/Cl
CNC(=O)ON=C(SC)C(=O)N(C)C
CC1(OC(=O)N(C1=O)C1=CC(Cl)=CC(Cl)=C1)C=C
OC(=O)C1=CC=CC=C1O
CC1(C)[C@@H](\C=C(/Cl)Cl)[C@@H]1C(=O)OCC1=CC(OC2=CC=CC=C2)=CC=C1
[H][C@@](C)(OC1=CC=C(Cl)C=C1C)C(O)=O
CCCCNC(=O)N1C(NC(=O)OC)=NC2=CC=CC=C12
CCOCN(C(=O)CCl)C1=C(C)C=CC=C1CC
NC(=O)C1=C(Cl)C=CC=C1
NC(=O)C1=C(Cl)C=CC=C1
ClC1=CC=C(Cl)C=C1
Cl\C=C(/Cl)Cl
CC(C)(C)C(O)(CCC1=CC=C(Cl)C=C1)CN1C=NC=N1
ClC(Cl)(Cl)Cl
ClC1=CC(Cl)=C(C=C1)C1=CC=C(Cl)C=C1Cl
